species,,latitude,longitude
Small Triggerplant,,-37.00972,142.72417
Common Beard-heath,,-38.06222,147.55722
Common Beard-heath,,-38.05917,147.55528
Common Beard-heath,,-38.15,147.4225
Common Beard-heath,,-38.075,147.53083
Common Beard-heath,,-37.03861,142.37806
Brown Treecreeper,,-37.22267,144.04555
Brown Treecreeper,,-36.9404,145.1478
Brown Treecreeper,,-36.50235,145.77686
Southern Brown Tree Frog,,-38.31185,144.14823
Agile Antechinus,,-38.35692,144.97151
Southern Brown Tree Frog,,-38.35692,144.97151
Southern Brown Tree Frog,,-38.35692,144.97151
Agile Antechinus,,-38.35598,144.96925
Agile Antechinus,,-38.35598,144.96925
Southern Brown Tree Frog,,-38.35598,144.96925
Agile Antechinus,,-37.28102,143.07973
Agile Antechinus,,-37.68834,145.52175
Agile Antechinus,,-37.68834,145.52175
Agile Antechinus,,-37.68834,145.52175
Agile Antechinus,,-37.68834,145.52175
Agile Antechinus,,-37.68834,145.52175
Agile Antechinus,,-37.68834,145.52175
Brown Treecreeper,,-37.64424,144.50827
Brown Treecreeper,,-36.1006,144.84116
Southern Brown Tree Frog,,-38.64496,146.57209
Brown Treecreeper,,-36.84391,142.47681
Brown Treecreeper,,-34.22946,142.22336
Southern Brown Tree Frog,,-37.78661,145.03149
Southern Brown Tree Frog,,-37.78661,145.03149
Southern Brown Tree Frog,,-37.82882,145.02242
Southern Brown Tree Frog,,-37.82882,145.02242
Southern Brown Tree Frog,,-37.82882,145.02242
Southern Brown Tree Frog,,-37.82882,145.02242
Southern Brown Tree Frog,,-37.82882,145.02242
Southern Brown Tree Frog,,-37.83171,144.9803
Southern Brown Tree Frog,,-37.83171,144.9803
Agile Antechinus,,-37.95565,145.49364
Agile Antechinus,,-37.95565,145.49364
Brown Treecreeper,,-36.70677,144.96984
Agile Antechinus,,-37.36868,145.27735
Agile Antechinus,,-37.06096,146.74537
Agile Antechinus,,-37.06096,146.74537
Brown Treecreeper,,-37.88986,144.21007
Agile Antechinus,,-37.36868,145.27735
Agile Antechinus,,-36.70863,146.82603
Agile Antechinus,,-36.70863,146.82603
Agile Antechinus,,-37.24327,142.5432
Agile Antechinus,,-37.83607,145.66653
Agile Antechinus,,-37.83607,145.66653
Brown Treecreeper,,-36.41481,145.32319
Southern Brown Tree Frog,,-37.5078,145.23795
Southern Brown Tree Frog,,-37.57559,145.44471
Agile Antechinus,,-37.50767,144.16668
Agile Antechinus,,-37.50767,144.16668
Agile Antechinus,,-37.39885,144.17531
Agile Antechinus,,-37.39885,144.17531
Brown Treecreeper,,-34.76337,142.67151
Brown Treecreeper,,-36.08406,146.20432
Brown Treecreeper,,-37.00909,142.72727
White-browed Treecreeper,,-34.38819,141.40982
White-browed Treecreeper,,-34.38819,141.40982
White-browed Treecreeper,,-34.38819,141.40982
Southern Brown Tree Frog,,-38.47262,146.85398
Southern Brown Tree Frog,,-37.81279,144.98082
Brown Treecreeper,,-36.16503,146.32358
Agile Antechinus,,-38.33028,146.91261
Agile Antechinus,,-38.33028,146.91261
Agile Antechinus,,-38.33028,146.91261
Agile Antechinus,,-38.45081,146.75088
Agile Antechinus,,-38.59622,145.87994
Agile Antechinus,,-38.59622,145.87994
Southern Brown Tree Frog,,-38.37655,144.25442
Brown Treecreeper,,-36.60171,143.69626
Brown Treecreeper,,-36.51987,145.3589
Brown Treecreeper,,-36.5085,145.9962
Agile Antechinus,,-38.60308,143.91994
Agile Antechinus,,-38.83006,143.5779
Brown Treecreeper,,-36.00308,144.98693
Southern Brown Tree Frog,,-37.91885,146.66166
Southern Brown Tree Frog,,-38.03777,145.36662
Southern Brown Tree Frog,,-38.4609,146.85285
Southern Brown Tree Frog,,-37.66409,145.39071
Brown Treecreeper,,-36.77372,144.98488
Brown Treecreeper,,-36.77181,144.97821
Brown Treecreeper,,-36.75651,144.97973
Brown Treecreeper,,-36.75651,144.97973
Southern Brown Tree Frog,,-38.0081,145.12923
Brown Treecreeper,,-36.77372,144.98488
Brown Treecreeper,,-36.77372,144.98488
Southern Brown Tree Frog,,-37.81281,144.98195
Southern Brown Tree Frog,,-38.32128,145.6188
Agile Antechinus,,-37.94137,145.65325
Agile Antechinus,,-38.02672,145.55485
Southern Brown Tree Frog,,-38.00664,145.68737
Southern Brown Tree Frog,,-37.9858,145.75948
Agile Antechinus,,-37.26208,144.0722
Brown Treecreeper,,-35.93115,144.99762
Southern Brown Tree Frog,,-37.61093,145.2038
Agile Antechinus,,-38.40773,144.99185
Agile Antechinus,,-38.40773,144.99185
Southern Brown Tree Frog,,-37.36806,141.39159
Southern Brown Tree Frog,,-38.35748,142.45097
Southern Brown Tree Frog,,-37.82444,144.97709
Southern Brown Tree Frog,,-37.82444,144.97709
Brown Treecreeper,,-34.31841,142.06488
Southern Brown Tree Frog,,-37.73893,145.14737
Southern Brown Tree Frog,,-36.97853,145.7131
Southern Brown Tree Frog,,-38.54711,143.96012
Agile Antechinus,,-37.15184,146.43651
Agile Antechinus,,-37.15184,146.43651
Southern Brown Tree Frog,,-37.73583,145.06688
Southern Brown Tree Frog,,-37.87002,147.60217
Southern Brown Tree Frog,,-38.21304,146.83965
Southern Brown Tree Frog,,-37.41584,143.1004
Agile Antechinus,,-38.42158,144.14048
Brown Treecreeper,,-36.95444,143.79735
Brown Treecreeper,,-36.95444,143.79735
Brown Treecreeper,,-36.75093,143.50772
Brown Treecreeper,,-36.779,143.08064
