"","X","Y","Presence","Annual.Mean.Temperature","Mean.Diurnal.Range","Isothermality","Temperature.Seasonality","Max.Temperature.of.Warmest.Month","Min.Temperature.of.Coldest.Month","Temperature.Annual.Range","Mean.Temperature.of.Wettest.Quarter","Mean.Temperature.of.Driest.Quarter","Mean.Temperature.of.Warmest.Quarter","Mean.Temperature.of.Coldest.Quarter","Annual.Precipitation","Precipitation.of.Wettest.Month","Precipitation.of.Driest.Month","Precipitation.Seasonality","Precipitation.of.Wettest.Quarter","Precipitation.of.Driest.Quarter","Precipitation.of.Warmest.Quarter","Precipitation.of.Coldest.Quarter"
"1",143.07973,-37.28102,1,129,119,49,4202,270,29,241,82,183,183,75,664,80,32,28,224,109,109,209
"2",145.52175,-37.68834,1,141,111,48,4006,270,42,228,115,192,192,89,1028,109,54,21,316,173,173,284
"3",145.49364,-37.95565,1,132,102,48,3761,253,41,212,107,180,180,83,1113,115,55,20,336,190,190,315
"4",145.27735,-37.36868,1,129,111,46,4395,266,29,237,81,185,185,73,970,111,48,25,311,154,154,301
"5",146.74537,-37.06096,1,104,117,46,4685,249,-2,251,52,164,164,44,1277,155,54,28,427,193,193,421
"6",146.82603,-36.70863,1,83,107,43,4946,228,-20,248,27,146,146,20,1417,173,54,31,486,202,230,478
"7",142.5432,-37.24327,1,122,118,49,4135,264,25,239,76,176,176,70,827,106,35,35,294,116,116,289
"8",145.66653,-37.83607,1,127,106,47,3885,253,32,221,101,177,177,77,1307,140,58,23,407,209,209,385
"9",144.16668,-37.50767,1,113,106,46,4137,245,19,226,67,167,167,61,979,117,49,27,323,152,152,312
"10",144.17531,-37.39885,1,108,108,46,4284,244,13,231,60,163,163,54,1121,142,47,35,396,152,152,394
"11",146.91261,-38.33028,1,129,106,50,3488,239,31,208,142,173,173,83,761,75,43,15,218,158,158,191
"12",146.75088,-38.45081,1,126,102,50,3401,233,32,201,120,169,169,81,856,82,46,15,239,170,170,227
"13",145.87994,-38.59622,1,134,92,48,3220,239,51,188,98,176,176,93,994,108,38,26,314,159,159,313
"14",143.5779,-38.83006,1,131,76,48,2881,220,62,158,94,169,169,94,1137,142,48,32,397,162,162,397
"15",145.65325,-37.94137,1,131,106,48,3788,255,36,219,106,180,180,82,1174,125,55,22,365,194,194,334
"16",145.55485,-38.02672,1,138,103,48,3676,258,45,213,113,185,185,90,987,104,51,20,303,171,171,269
