"","X","Y","Presence","Annual.Mean.Temperature","Mean.Diurnal.Range","Isothermality","Temperature.Seasonality","Max.Temperature.of.Warmest.Month","Min.Temperature.of.Coldest.Month","Temperature.Annual.Range","Mean.Temperature.of.Wettest.Quarter","Mean.Temperature.of.Driest.Quarter","Mean.Temperature.of.Warmest.Quarter","Mean.Temperature.of.Coldest.Quarter","Annual.Precipitation","Precipitation.of.Wettest.Month","Precipitation.of.Driest.Month","Precipitation.Seasonality","Precipitation.of.Wettest.Quarter","Precipitation.of.Driest.Quarter","Precipitation.of.Warmest.Quarter","Precipitation.of.Coldest.Quarter"
"68445",147.5572,-38.06222,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68446",147.5553,-38.05917,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68447",147.4225,-38.15,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68448",147.5308,-38.075,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68449",142.3781,-37.03861,1,131,124,49,4276,277,28,249,77,186,186,77,715,92,32,36,256,100,100,256
"68450",147.2089,-38.2469,1,137,107,51,3435,244,37,207,150,167,180,92,653,66,37,15,192,139,140,158
"68451",141.9356,-37.48465,1,129,117,51,3727,263,35,228,87,177,177,81,701,91,26,34,250,95,95,245
"68452",144.6445,-37.28368,1,122,111,46,4381,259,21,238,73,178,178,67,821,98,44,26,270,134,134,262
"68453",141.0125,-36.53069,1,145,134,52,4142,293,39,254,93,198,199,93,511,68,19,39,186,64,66,186
"68454",142.3424,-37.20388,1,135,121,50,4074,276,35,241,90,187,187,83,640,80,29,32,221,93,93,218
"68455",141.4534,-37.77459,1,131,108,51,3357,252,44,208,93,175,175,89,789,106,26,39,296,98,98,294
"68456",147.5533,-38.06222,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68457",147.3722,-38.18528,1,140,107,52,3416,245,40,205,153,183,183,95,642,66,35,15,189,136,136,155
"68458",147.4675,-38.11806,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68459",147.5558,-38.05861,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68460",147.5317,-38.07583,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68461",147.5311,-38.07444,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68462",147.4661,-38.1225,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68463",142.3872,-36.97667,1,128,124,49,4314,274,24,250,73,183,183,73,772,100,33,37,280,105,105,280
"68464",144.0468,-37.70313,1,120,104,47,3960,246,28,218,92,171,171,69,803,89,47,20,254,145,145,226
"68465",141.0883,-37.38667,1,138,119,51,3653,273,43,230,92,186,186,92,688,95,22,41,264,80,80,264
"68466",147.5517,-38.06278,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68467",147.5247,-38.07167,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68468",147.4239,-38.15528,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68469",147.4533,-38.12611,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68470",147.5581,-38.06194,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
"68471",147.4225,-38.15083,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68472",147.4678,-38.12333,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68473",145.256,-37.56436,1,138,110,48,4115,268,40,228,111,191,191,85,852,87,50,18,253,155,155,226
"68474",147.3928,-38.17121,1,140,106,52,3385,244,41,203,153,183,183,95,647,67,35,15,190,135,135,158
"68475",147.4063,-38.16285,1,140,108,52,3399,246,41,205,153,183,183,96,645,68,35,15,191,136,136,155
"68476",141.8806,-38.19861,1,136,94,52,2954,236,56,180,98,175,175,98,769,100,28,35,276,103,103,276
"68477",147.5244,-38.07056,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68478",147.5178,-38.06944,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68479",147.4225,-38.15583,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68480",147.4222,-38.15444,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68481",147.4675,-38.12333,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68482",147.445,-38.12556,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68483",147.3825,-38.18111,1,140,106,52,3385,244,41,203,153,183,183,95,647,67,35,15,190,135,135,158
"68484",144.9834,-36.80088,1,145,123,47,4831,290,31,259,91,206,206,83,607,69,32,22,191,114,114,186
"68485",142.3898,-37.11143,1,126,121,49,4232,270,26,244,73,181,181,73,818,107,34,38,298,108,108,298
"68486",147.5175,-38.07028,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68487",147.5178,-38.07028,1,141,108,53,3354,245,42,203,154,183,183,97,663,72,33,17,198,135,135,162
"68488",147.4522,-38.12611,1,140,107,52,3372,245,41,204,153,183,183,96,650,68,34,15,192,135,135,158
"68489",147.4672,-38.1225,1,141,108,52,3375,246,42,204,153,183,183,96,658,70,34,16,195,136,136,161
"68490",142.221,-37.33725,1,118,117,50,3938,257,24,233,74,169,169,68,875,114,34,36,314,117,117,311
"68491",144.6665,-37.40901,1,111,106,46,4279,245,16,229,63,166,166,57,1056,128,52,29,356,161,161,348
"68492",142.3682,-37.17939,1,135,121,50,4074,276,35,241,90,187,187,83,640,80,29,32,221,93,93,218
"68493",141.1353,-37.15306,1,139,125,51,3840,280,39,241,90,189,189,90,635,87,21,41,242,76,76,242
"68494",144.6261,-37.42306,1,120,107,46,4189,252,23,229,73,174,174,67,890,103,50,23,285,152,152,270
"68495",147.5567,-38.06361,1,142,107,52,3349,246,43,203,154,184,184,98,667,72,33,17,198,135,135,164
