"","X","Y","Presence","Annual.Mean.Temperature","Mean.Diurnal.Range","Isothermality","Temperature.Seasonality","Max.Temperature.of.Warmest.Month","Min.Temperature.of.Coldest.Month","Temperature.Annual.Range","Mean.Temperature.of.Wettest.Quarter","Mean.Temperature.of.Driest.Quarter","Mean.Temperature.of.Warmest.Quarter","Mean.Temperature.of.Coldest.Quarter","Annual.Precipitation","Precipitation.of.Wettest.Month","Precipitation.of.Driest.Month","Precipitation.Seasonality","Precipitation.of.Wettest.Quarter","Precipitation.of.Driest.Quarter","Precipitation.of.Warmest.Quarter","Precipitation.of.Coldest.Quarter"
"71753",144.1482,-38.31185,1,136,92,48,3336,239,51,188,111,179,179,93,661,72,37,21,206,115,115,193
"71754",146.5721,-38.64496,1,136,92,49,3197,235,49,186,113,177,177,94,838,84,41,18,241,154,154,237
"71755",145.0315,-37.78661,1,148,102,49,3786,263,55,208,141,196,196,99,698,73,46,15,207,144,144,161
"71756",145.0224,-37.82882,1,148,100,48,3738,262,57,205,141,196,196,100,709,74,46,16,208,142,142,167
"71757",144.9803,-37.83171,1,148,100,48,3723,262,57,205,142,196,196,100,675,71,45,16,199,137,137,157
"71758",145.238,-37.5078,1,128,107,47,4214,259,32,227,81,182,182,74,1078,120,55,23,335,173,173,322
"71759",145.4447,-37.57559,1,135,111,48,4168,267,36,231,107,188,188,81,1017,111,53,22,312,170,170,291
"71760",146.854,-38.47262,1,132,100,50,3344,237,39,198,126,175,175,88,745,71,41,15,208,151,151,195
"71761",144.9808,-37.81279,1,148,100,48,3723,262,57,205,142,196,196,100,675,71,45,16,199,137,137,157
"71762",146.6617,-37.91885,1,125,118,51,3821,251,20,231,120,173,173,75,980,99,55,15,281,198,198,248
"71763",145.3666,-38.03777,1,141,99,48,3632,257,52,205,116,188,188,94,899,92,49,19,270,160,160,243
"71764",146.8528,-38.4609,1,132,100,50,3344,237,39,198,126,175,175,88,745,71,41,15,208,151,151,195
"71765",145.3907,-37.66409,1,144,111,48,4031,272,45,227,117,195,195,92,803,83,47,19,242,147,147,208
"71766",145.1292,-38.0081,1,148,96,48,3541,258,60,198,123,193,193,102,729,77,44,18,216,137,137,191
"71767",144.982,-37.81281,1,148,100,48,3723,262,57,205,142,196,196,100,675,71,45,16,199,137,137,157
"71768",145.6188,-38.32128,1,141,97,48,3407,252,53,199,102,185,185,96,978,104,46,23,298,161,161,289
"71769",145.6874,-38.00664,1,134,105,48,3713,256,39,217,109,182,182,86,1062,113,53,21,329,182,182,289
"71770",145.7595,-37.9858,1,136,109,49,3764,260,39,221,111,184,184,87,1065,114,52,21,333,181,181,289
"71771",145.2038,-37.61093,1,143,108,48,4044,269,46,223,136,194,194,91,742,74,46,17,218,143,143,184
"71772",141.3916,-37.36806,1,134,121,51,3742,271,37,234,92,182,182,86,693,92,22,40,262,83,83,257
"71773",142.451,-38.35748,1,138,92,51,2986,237,57,180,99,177,177,99,797,98,30,32,279,113,113,279
"71774",144.9771,-37.82444,1,148,100,48,3723,262,57,205,142,196,196,100,675,71,45,16,199,137,137,157
"71775",145.1474,-37.73893,1,147,105,49,3858,267,53,214,140,196,196,97,746,75,47,16,218,146,146,181
"71776",145.7131,-36.97853,1,133,120,46,4836,283,25,258,81,195,195,72,821,99,35,29,279,132,132,277
"71777",143.9601,-38.54711,1,136,88,49,3149,235,56,179,100,177,177,95,799,96,37,28,265,122,122,261
"71778",145.0669,-37.73583,1,146,103,48,3847,264,53,211,160,195,195,96,724,74,47,16,212,148,148,170
"71779",147.6022,-37.87002,1,142,113,53,3475,251,40,211,156,186,186,96,710,82,34,20,216,142,142,173
"71780",146.8397,-38.21304,1,128,109,50,3560,242,28,214,142,173,173,81,781,77,45,14,225,163,163,193
"71781",143.1004,-37.41584,1,125,117,49,4130,264,28,236,79,178,178,73,687,82,32,27,232,113,113,211
"71782",147.9579,-37.32958,1,106,117,49,4154,234,-1,235,124,140,158,51,834,99,51,17,255,175,182,198
"71783",146.3235,-37.94713,1,115,114,50,3876,242,14,228,89,164,164,64,1358,142,65,20,414,239,239,389
"71784",145.6723,-37.89472,1,118,103,47,3897,243,25,218,74,168,168,67,1438,156,61,24,454,226,226,435
"71785",145.8572,-37.8516,1,113,106,47,3971,241,18,223,68,164,164,62,1527,171,60,26,498,233,233,478
"71786",145.9965,-37.89072,1,122,111,48,3835,249,22,227,78,170,170,72,1291,143,48,25,413,210,210,389
"71787",147.9662,-37.71348,1,138,107,51,3474,246,39,207,152,182,182,93,802,84,44,15,238,165,165,192
"71788",146.9641,-38.36365,1,133,105,51,3426,240,36,204,146,176,176,88,703,69,40,15,202,147,147,176
"71789",141.4852,-38.21225,1,134,87,51,2771,227,59,168,98,167,170,98,827,110,23,40,318,103,107,318
"71790",148.2452,-37.77125,1,144,104,51,3409,248,46,202,157,187,187,99,819,81,46,15,232,164,164,207
"71791",148.1825,-37.82957,1,144,103,51,3373,247,47,200,156,187,187,100,796,79,43,15,225,159,159,201
"71792",146.3107,-38.21924,1,129,109,50,3598,247,30,217,105,175,175,82,919,96,45,21,280,161,161,262
"71793",143.8776,-38.40412,1,130,93,48,3344,237,47,190,92,174,174,87,773,92,36,28,255,115,115,250
