"","X","Y","Presence","Annual.Mean.Temperature","Mean.Diurnal.Range","Isothermality","Temperature.Seasonality","Max.Temperature.of.Warmest.Month","Min.Temperature.of.Coldest.Month","Temperature.Annual.Range","Mean.Temperature.of.Wettest.Quarter","Mean.Temperature.of.Driest.Quarter","Mean.Temperature.of.Warmest.Quarter","Mean.Temperature.of.Coldest.Quarter","Annual.Precipitation","Precipitation.of.Wettest.Month","Precipitation.of.Driest.Month","Precipitation.Seasonality","Precipitation.of.Wettest.Quarter","Precipitation.of.Driest.Quarter","Precipitation.of.Warmest.Quarter","Precipitation.of.Coldest.Quarter"
"84457",141.4098,-34.38819,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84458",141.4339,-34.41786,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84459",141.6147,-34.53924,1,166,140,49,4983,323,40,283,135,227,230,102,311,33,20,19,96,62,62,88
"84460",142.0023,-35.46219,1,159,141,50,4852,317,37,280,127,222,222,97,361,40,21,20,112,67,67,106
"84461",141.5413,-34.49327,1,166,140,49,4972,323,39,284,134,226,229,102,314,33,20,18,97,62,62,89
"84462",141.4333,-34.41667,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84463",141.7577,-36.78462,1,142,132,51,4274,290,34,256,95,197,197,88,487,61,23,33,169,72,72,168
"84464",141.4427,-34.42956,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84465",142.6811,-34.75354,1,166,139,48,5108,323,38,285,134,232,232,101,341,35,23,15,102,71,71,92
"84466",141.4415,-34.45708,1,166,140,49,4987,324,40,284,135,227,230,103,308,33,19,19,95,60,61,87
"84467",141.3892,-34.39637,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84468",141.3406,-34.37021,1,168,140,49,4997,325,42,283,137,229,232,104,292,31,18,18,89,58,59,82
"84469",141.6228,-34.50682,1,166,140,49,4983,323,40,283,135,227,230,102,311,33,20,19,96,62,62,88
"84470",141.5508,-34.50833,1,166,140,49,4985,323,40,283,134,226,230,102,311,33,20,19,96,62,62,88
"84471",141.9554,-35.47621,1,159,141,50,4805,317,38,279,127,221,221,98,358,40,21,21,112,66,66,106
"84472",141.4132,-34.3886,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84473",141.8927,-35.44718,1,160,141,50,4802,317,38,279,128,222,222,99,353,40,21,20,110,66,66,105
"84474",141.3794,-34.39532,1,167,140,49,4985,324,41,283,136,228,231,103,302,32,19,18,93,60,60,86
"84475",142.2426,-34.28337,1,170,138,48,5126,326,41,285,139,207,236,105,299,31,20,15,89,61,66,79
"84476",142.0847,-35.66446,1,157,140,50,4820,315,36,279,125,220,220,96,366,42,21,21,114,67,67,108
"84477",141.3451,-34.26033,1,170,140,49,5016,327,43,284,138,231,234,106,286,30,18,18,87,57,58,79
"84478",142.3497,-37.49832,1,132,116,50,3821,266,37,229,89,181,181,83,654,79,29,28,217,99,99,208
"84479",141.9966,-35.44406,1,160,141,50,4844,318,38,280,128,222,222,98,353,40,21,21,110,66,66,104
