"","lon","lat"
"3",143.07973,-37.28102
"4",145.52175,-37.68834
"5",145.49364,-37.95565
"6",145.27735,-37.36868
"7",146.74537,-37.06096
"8",146.82603,-36.70863
"9",142.5432,-37.24327
"10",145.66653,-37.83607
"11",144.16668,-37.50767
"12",144.17531,-37.39885
"13",146.91261,-38.33028
"14",146.75088,-38.45081
"15",145.87994,-38.59622
"17",143.5779,-38.83006
"18",145.65325,-37.94137
"19",145.55485,-38.02672
"20",144.0722,-37.26208
"21",144.99185,-38.40773
"22",146.43651,-37.15184
"23",144.14048,-38.42158
"24",144.09533,-37.27616
"25",146.35477,-37.36144
"26",148.77142,-37.65276
"27",148.76205,-37.49608
"28",149.54958,-37.60426
"29",149.57333,-37.5704
"30",148.93673,-37.33923
"31",148.98656,-37.26
"32",149.01443,-37.24781
"33",146.37043,-37.91585
"34",146.40106,-37.92682
"35",146.34878,-37.92023
"36",147.29194,-37.91086
"37",146.33832,-37.81743
"38",145.84142,-37.84333
"39",145.13636,-37.45306
"40",145.36307,-37.5808
"41",145.07935,-37.42782
"42",145.3019,-37.6313
"43",144.99177,-38.41044
"44",146.33513,-37.41181
"45",147.17118,-37.34145
"46",147.72389,-37.40966
"47",149.28578,-37.57091
"48",149.36457,-37.5207
"50",149.7541,-37.43746
"51",148.35795,-37.79253
"52",147.4739,-36.09207
"53",145.56478,-38.39182
"54",144.11748,-37.28662
"55",142.31923,-37.20091
"56",147.76159,-37.44999
"57",141.50084,-38.15452
"58",141.51011,-38.15038
"59",141.47522,-37.90959
"60",141.55797,-38.00089
"61",141.6148,-38.0315
"62",141.72438,-38.19747
"63",141.40716,-38.20047
"64",145.41201,-37.95021
"65",148.08829,-36.90544
"66",146.12493,-37.46015
"67",146.12349,-37.55435
"68",148.7609,-37.69499
"69",148.75939,-37.75594
"70",143.7026,-38.4955
"71",145.857,-37.8575
"72",144.0714,-37.2657
"73",144.1127,-37.304
"74",147.20454,-38.2514
"75",148.08281,-37.2737
"76",148.03075,-37.7355
"77",146.36638,-38.0603
"78",144.27834,-37.3864
"82",147.30392,-38.2416
"83",148.18666,-37.4006
"84",144.1147,-38.4203
"85",144.1152,-37.3033
"87",147.30959,-38.2338
"88",145.30032,-37.965
"89",145.18967,-38.3257
"90",145.19358,-38.3295
"91",146.37972,-37.8572
"92",146.34934,-37.6718
"93",147.02392,-38.3511
"94",144.2036,-37.4531
"95",145.80126,-37.8381
"96",144.2592,-37.3279
"97",146.07405,-37.7939
"98",144.2627,-37.3309
"99",149.27573,-37.33481
"100",149.3722,-37.37488
"101",148.79843,-37.27929
"102",148.86256,-37.20796
"103",141.129865,-38.024479
"104",141.011495,-38.016826
"105",144.2438,-37.3783
"106",146.454803,-38.384571
"107",145.891756,-37.871441
"108",146.321363,-37.921884
"109",145.890403,-37.562619
"110",145.411285,-38.024451
"111",144.4452,-37.4605
"113",149.126157,-37.578254
"114",148.638651,-37.238199
"115",144.1786,-37.847
"116",145.483839,-37.733023
"117",146.263918,-37.959527
"118",146.23453,-37.910824
"119",143.499705,-38.560182
"120",144.2585,-37.4728
"121",145.404707,-37.885737
"122",144.3166,-37.2837
"123",143.50046,-38.65785
"124",146.88176,-38.30592
"125",145.8634,-37.37126
"126",147.32417,-36.14667
"127",143.57655,-38.82468
"128",144.5208,-37.43724
"129",142.41472,-37.48643
"130",146.58444,-37.07763
"131",144.16432,-37.51032
"132",147.04031,-37.51373
"133",147.04144,-37.50832
"135",147.28273,-37.88384
"136",147.21842,-36.89066
"137",144.28032,-37.30579
"138",145.60631,-37.95614
"139",145.34707,-37.8933
"140",146.75549,-37.06188
"141",146.50088,-37.12418
"142",146.84312,-37.11431
"143",145.69164,-37.89403
"144",145.86793,-37.29559
"145",146.03942,-37.73696
"146",145.5967,-37.38102
"147",145.47903,-37.94645
"148",148.72237,-37.5904
"150",148.40496,-37.51529
"151",148.70906,-37.30489
"152",148.82718,-37.24364
"153",149.07568,-37.50721
"154",149.14499,-37.47803
"155",147.93586,-36.82317
"156",146.24115,-37.87543
"157",146.29346,-37.87485
"158",145.81513,-37.85298
"159",145.72797,-37.89804
"160",146.32488,-37.921
"161",146.35182,-37.83283
"162",145.70148,-37.85178
"163",145.30715,-37.64941
"164",145.25621,-37.64686
"165",146.75413,-37.82534
"166",146.75042,-38.25074
"167",146.55908,-37.95095
"168",148.04538,-36.46528
"169",149.27432,-37.56663
