"","lon","lat"
"1",147.55722,-38.06222
"2",147.55528,-38.05917
"3",147.4225,-38.15
"4",147.53083,-38.075
"5",142.37806,-37.03861
"6",147.2089,-38.2469
"7",141.93557,-37.48465
"8",144.64453,-37.28368
"9",141.0125,-36.530694
"10",142.34239,-37.20388
"11",141.45338,-37.77459
"12",147.55333,-38.06222
"13",147.37222,-38.18528
"14",147.4675,-38.11806
"15",147.55583,-38.05861
"16",147.53167,-38.07583
"17",147.53111,-38.07444
"18",147.46611,-38.1225
"19",142.38722,-36.97667
"20",144.04677,-37.70313
"21",141.08833,-37.38667
"22",147.55167,-38.06278
"23",147.52472,-38.07167
"24",147.42389,-38.15528
"25",147.45333,-38.12611
"26",147.55806,-38.06194
"27",147.4225,-38.15083
"28",147.46778,-38.12333
"29",145.256035,-37.56436
"30",147.392783,-38.171207
"31",147.406265,-38.162852
"32",141.88056,-38.19861
"33",147.52444,-38.07056
"34",147.51778,-38.06944
"35",147.4225,-38.15583
"36",147.42222,-38.15444
"37",147.4675,-38.12333
"38",147.445,-38.12556
"39",147.3825,-38.18111
"40",144.98338,-36.80088
"41",142.3898,-37.11143
"42",147.5175,-38.07028
"43",147.51778,-38.07028
"44",147.45222,-38.12611
"45",147.46722,-38.1225
"46",142.221,-37.33725
"47",144.66647,-37.40901
"48",142.36821,-37.17939
"49",141.13528,-37.15306
"50",144.62611,-37.42306
"51",147.55667,-38.06361
"52",147.55806,-38.06278
"53",147.42333,-38.15028
"54",142.33347,-36.9787
"55",147.62794,-36.86348
"56",141.12997,-37.17417
"57",141.05782,-36.9821
"58",145.033374,-37.980725
"59",147.396352,-38.147357
"60",141.27778,-38.035
"61",141.50389,-37.11444
"62",141.37806,-37.24917
"63",141.3775,-37.35639
"64",147.55833,-38.06194
"65",147.55694,-38.06361
"66",147.46694,-38.10889
"67",147.44361,-38.12667
"68",147.38333,-38.18194
"69",145.2818,-37.7137
"70",144.66316,-37.41272
"71",147.20848,-38.25214
"72",141.2233,-37.64138
"73",143.61918,-37.70613
"74",145.537447,-38.428297
"75",142.027568,-37.35619
"76",145.20517,-37.807268
"77",142.31364,-37.18028
"78",141.28278,-38.05167
"79",147.55639,-38.06361
"80",147.37361,-38.18389
"81",147.4675,-38.10889
"82",147.46778,-38.10944
"83",147.46611,-38.10861
"84",147.5525,-38.05694
"85",142.02705,-37.34543
"86",143.42188,-37.44159
"87",144.339632,-36.788254
"88",142.031705,-37.353206
"89",147.51778,-38.07056
"90",147.37361,-38.18472
"91",147.4775,-38.105
"92",147.44333,-38.12639
"93",145.29947,-37.6904
"94",145.15768,-37.6679
"95",141.34336,-36.9871
"96",141.5015,-36.79341
"97",145.2074,-37.620383
"98",142.33194,-37.60111
"99",141.25806,-37.58028
"100",147.77861,-36.90917
"101",147.51778,-38.06972
"102",147.55667,-38.06278
"103",147.37278,-38.185
"104",147.46639,-38.12278
"105",147.55528,-38.05944
"106",147.47639,-38.105
"107",147.38333,-38.18111
"108",145.87327,-38.70634
"109",141.6395,-38.05582
"110",141.11378,-36.49705
"111",145.249176,-37.651402
"112",141.0025,-37.23444
"113",141.10472,-37.35528
"114",142.04333,-37.53667
"115",147.45306,-38.12583
"116",147.53194,-38.07528
"117",147.46639,-38.10889
"118",147.47667,-38.10611
"119",147.5525,-38.05667
"121",145.98854,-36.88737
"122",144.48766,-37.1915
"123",144.67635,-37.40636
"124",147.421077,-38.146117
"125",145.16694,-37.71278
"126",141.30694,-37.80333
"127",141.68917,-37.00667
"128",145.28083,-37.69444
"129",147.51667,-38.06944
"130",142.96636,-37.20241
"131",143.58174,-37.64622
"132",142.364444,-36.883889
"133",147.470124,-38.101175
"134",145.1793,-37.806999
"135",141.2735,-38.06863
"136",147.43313,-36.0261
"137",147.55222,-38.06306
