"","lon","lat"
"1",144.14823,-38.31185
"4",146.57209,-38.64496
"5",145.03149,-37.78661
"6",145.02242,-37.82882
"7",144.9803,-37.83171
"8",145.23795,-37.5078
"9",145.44471,-37.57559
"10",146.85398,-38.47262
"11",144.98082,-37.81279
"13",146.66166,-37.91885
"14",145.36662,-38.03777
"15",146.85285,-38.4609
"16",145.39071,-37.66409
"17",145.12923,-38.0081
"18",144.98195,-37.81281
"19",145.6188,-38.32128
"20",145.68737,-38.00664
"21",145.75948,-37.9858
"22",145.2038,-37.61093
"23",141.39159,-37.36806
"24",142.45097,-38.35748
"25",144.97709,-37.82444
"26",145.14737,-37.73893
"27",145.7131,-36.97853
"28",143.96012,-38.54711
"29",145.06688,-37.73583
"30",147.60217,-37.87002
"31",146.83965,-38.21304
"32",143.1004,-37.41584
"33",147.95791,-37.32958
"34",146.3235,-37.94713
"35",145.6723,-37.89472
"36",145.85721,-37.8516
"37",145.99648,-37.89072
"38",147.96623,-37.71348
"39",146.96408,-38.36365
"40",141.48516,-38.21225
"42",148.24516,-37.77125
"43",148.18251,-37.82957
"44",146.31071,-38.21924
"45",143.87756,-38.40412
"46",142.24576,-38.33731
"47",147.17695,-38.3464
"48",146.9533,-38.33535
"49",146.53012,-38.61164
"50",144.26708,-37.3911
"51",145.59261,-38.16013
"52",145.58872,-38.17141
"53",142.79868,-37.89482
"54",141.42285,-37.9473
"55",141.19026,-37.79018
"56",145.14535,-37.70597
"57",142.04625,-37.49932
"58",145.71882,-37.95943
"59",145.74665,-37.93713
"60",145.82088,-38.01742
"61",145.73878,-37.95755
"62",145.27252,-37.81942
"63",146.61243,-38.25387
"64",144.27101,-37.39164
"65",145.23444,-38.01791
"66",148.80316,-37.6589
"67",145.16918,-38.1574
"68",145.02332,-37.7854
"69",141.9278,-38.0924
"70",141.4207,-37.8197
"71",141.2456,-37.6166
"72",141.2837,-37.5696
"73",143.4791,-38.7634
"74",143.2272,-38.44
"75",145.1842,-38.0334
"76",143.36444,-37.8931
"77",144.09871,-37.8231
"78",142.62861,-37.2529
"79",143.48,-37.9604
"80",141.99548,-37.3876
"81",146.65995,-37.4104
"82",145.20878,-37.73357
"83",142.03107,-38.20511
"84",145.04987,-37.77881
"85",144.97704,-37.82624
"86",144.26567,-36.80442
"87",145.05873,-37.78707
"88",144.5208,-37.43724
"89",142.8153,-38.32717
"90",147.48085,-37.7471
"91",143.19948,-37.24912
"92",143.28105,-37.29984
"93",146.51132,-38.1157
"94",144.61572,-37.29501
"96",144.0542,-37.02915
"97",145.04875,-37.77789
"98",145.28413,-37.71396
"100",147.26001,-37.8902
"101",144.97564,-37.66941
"103",145.39695,-37.79576
"104",145.64722,-37.89804
"105",144.98484,-37.83179
"106",144.98427,-37.81105
"107",145.18946,-37.73508
"108",146.29964,-37.94248
"109",146.34763,-37.92113
"110",146.26904,-37.92968
"111",146.48109,-37.54775
"112",141.40345,-37.05162
"113",141.76283,-38.22068
"114",149.28691,-37.57089
"115",149.48031,-37.32548
